Box		LastName	FirstName

		R0001	

R0001	1	M17068	R02751
R0001	2	M58778	R02320
R0001	3	M17392	R03042
R0001	4	M46767	R00983
R0001	5	M46751	R03010
R0001	6	M46757	R03085
R0001	7	M42592	R02752
R0001	8	M42328	R03012
R0001	9	M40698	R02328
R0001	10	M52526	R02660
R0001	11	M46784	R03092
R0001	12	M46766	R03173
R0001	13	M44828	R03090
R0001	14	M46722	R02757
R0001	15	M29265	R03116
R0001	16	M29218	R02662
R0001	17	M46898	R02755
R0001	18	M42605	R02661
R0001	19	M40016	R03043
R0001	20	M34374	R04851
R0001	21	M40474	R02325
R0001	22	M44811	R02756
R0001	23	M29060	R02665
R0001	24	M42839	R02324
R0001	25	M17380	R02321
R0001	26	M47716	R05076
R0001	27	M17351	R02323
R0001	28	M42283	R03087
R0001	29	M46987	R02327
R0001	30	M52645	R02326
R0001	31	M46779	R02754
R0001	32	M46944	R02753
R0001	33	M47219	R03177
R0001	34	M42444	R03176
R0001	35	M42288	R03175
R0001	36	M47026	R02758
R0001	37	M46756	R02759
R0001	38	M17361	R03212
R0001	39	M47151	R03118
R0001	40	M46953	R03117
R0001	41	M42679	R02666
R0001	42	M45712	R02329
R0001	43	M44836	R02330
R0001	44	M46965	R02331
R0001	45	M44389	R03045
R0001	46	M46873	R03046
R0001	47	M46986	R03120
R0001	48	M40335	R03178
R0001	49	M17225	R02667
R0001	50	M46726	R03154

		R0002	

R0002	1	M43825	R02668
R0002	2	M46869	R03213
R0002	3	M47199	R03048
R0002	4	M42860	R03049
R0002	5	M17179	R03155
R0002	6	M40230	R03156
R0002	7	M17226	R03218
R0002	8	M46783	R02670
R0002	9	M28209	R03124
R0002	10	M47299	R03182
R0002	11	M46900	R03123
R0002	12	M46762	R02671
R0002	13	M46958	R02669
R0002	14	M46926	R03126
R0002	15	M44787	R03217
R0002	16	M47069	R03047
R0002	17	M47308	R03125
R0002	18	M52107	R03219
R0002	19	M43563	R03122
R0002	20	M47017	R03180
R0002	21	M45830	R03214
R0002	22	M47271	R03215
R0002	23	M45803	R03216
R0002	24	M48787	R03128
R0002	25	M45387	R03051
R0002	26	M43406	R03157
R0002	27	M52049	R03220
R0002	28	M44781	R03221
R0002	29	M52026	R02674
R0002	30	M29464	R03158
R0002	31	M51593	R03131
R0002	32	M52003	R03130
R0002	33	M29581	R02672
R0002	34	M47613	R02673
R0002	35	M29261	R03184
R0002	36	M29624	R03222
R0002	37	M29622	R03052
R0002	38	M29770	R03159
R0002	39	M51484	R03160
R0002	40	M52810	R03161
R0002	41	M51443	R03225
R0002	42	M53143	R03224
R0002	43	M51601	R03223
R0002	44	M51472	R03185
R0002	45	M27819	R03053
R0002	46	M51464	R03186
R0002	47	M51754	R03132
R0002	48	M29466	R02675
R0002	49	M25622	R03134
R0002	50	M51428	R02676

		R0003	

R0003	1	M47568	R02677
R0003	2	M51394	R03233
R0003	3	M47609	R03142
R0003	4	M28237	R03237
R0003	5	M51421	R00984
R0003	6	M51594	R03235
R0003	7	M52027	R03025
R0003	8	M52050	R03234
R0003	9	M47384	R03022
R0003	10	M30403	R03021
R0003	11	M28068	R03141
R0003	12	M47392	R03143
R0003	13	M52498	R03144
R0003	14	M51511	R03146
R0003	15	M51417	R03057
R0003	16	M30137	R03236
R0003	17	M53111	R03019
R0003	18	M52911	R03020
R0003	19	M53018	R03056
R0003	20	M52854	R03015
R0003	21	M53057	R03232
R0003	22	M52647	R03140
R0003	23	M27195	R03230
R0003	24	M47075	R03138
R0003	25	M51498	R03139
R0003	26	M47535	R03228
R0003	27	M52323	R03229
R0003	28	M44822	R03227
R0003	29	M29705	R03231
R0003	30	M51438	R03135
R0003	31	M51764	R03137
R0003	32	M28429	R03018
R0003	33	M29872	R03136
R0003	34	M51551	R03014
R0003	35	M47193	R03195
R0003	36	M52177	R03017
R0003	37	M52178	R03162
R0003	38	M51558	R03226
R0003	39	M29509	R03187
R0003	40	M51424	R03055
R0003	41	M52915	R02678
R0003	42	M52005	R03031
R0003	43	M46738	R03167
R0003	44	M29523	R02679
R0003	45	M30112	R03188
R0003	46	M51454	R03166
R0003	47	M51531	R03197
R0003	48	M51499	R03059
R0003	49	M28599	R03196
R0003	50	M51413	R03029

		R0004	

R0004	1	M46959	R03028
R0004	2	M51407	R03030
R0004	3	M29915	R03149
R0004	4	M52913	R03148
R0004	5	M40240	R03194
R0004	6	M51471	R03058
R0004	7	M38272	R03714
R0004	8	M51688	R03193
R0004	9	M47566	R03163
R0004	10	M30234	R03192
R0004	11	M28083	R03165
R0004	12	M28124	R03027
R0004	13	M51405	R03026
R0004	14	M30155	R03191
R0004	15	M29993	R03190
R0004	16	M29269	R03189
R0004	17	M47450	R03024
R0004	18	M51487	R03023
R0004	19	M53098	R03313
R0004	20	M51403	R03316
R0004	21	M52070	R03314
R0004	22	M52460	R03032
R0004	23	M52839	R03312
R0004	24	M51369	R03168
R0004	25	M52013	R03315
R0004	26	M53151	R03169
R0004	27	M47604	R03150
R0004	28	M28528	R03198
R0004	29	M30602	R03151
R0004	30	M51404	R03060
R0004	31	M52914	R03199
R0004	32	M47636	R03201
R0004	33	M26499	R03064
R0004	34	M52699	R03061
R0004	35	M40872	R03062
R0004	36	M47246	R03321
R0004	37	M30098	R03320
R0004	38	M52320	R03324
R0004	39	M52117	R03323
R0004	40	M30038	R03326
R0004	41	M30342	R03319
R0004	42	M52176	R03318
R0004	43	M51773	R03317
R0004	44	M47557	R03329
R0004	45	M29405	R03325
R0004	46	M30623	R03203
R0004	47	M52197	R03172
R0004	48	M52338	R03238
R0004	49	M52159	R03328
R0004	50	M51368	R03152

		R0005	

R0005	1	M30694	R03065
R0005	2	M58762	R03171
R0005	3	M29839	R03202
R0005	4	M52328	R03170
R0005	5	M30397	R03373
R0005	6	M51459	R03205
R0005	7	M30707	R03204
R0005	8	M51423	R03330
R0005	9	M47173	R03252
R0005	10	M30667	R03374
R0005	11	M30474	R03066
R0005	12	M30197	R03376
R0005	13	M30530	R03377
R0005	14	M28242	R03206
R0005	15	M51374	R03207
R0005	16	M52237	R03239
R0005	17	M30817	R03068
R0005	18	M51411	R03332
R0005	19	M28995	R03335
R0005	20	M47652	R03208
R0005	21	M47658	R03240
R0005	22	M52998	R03333
R0005	23	M52989	R03334
R0005	24	M52042	R03336
R0005	25	M51349	R03337
R0005	26	M30592	R03379
R0005	27	M52675	R03382
R0005	28	M27964	R03256
R0005	29	M30284	R03257
R0005	30	M38924	R04023
R0005	31	M29980	R03378
R0005	32	M51381	R03209
R0005	33	M47569	R03069
R0005	34	M30003	R03242
R0005	35	M52515	R03341
R0005	36	M30573	R03338
R0005	37	M52519	R03340
R0005	38	M26329	R03381
R0005	39	M44763	R03400
R0005	40	M30693	R03258
R0005	41	M30813	R03343
R0005	42	M47365	R03342
R0005	43	M30631	R03383
R0005	44	M47283	R03210
R0005	45	M47049	R03211
R0005	46	M47608	R03243
R0005	47	M29117	R03259
R0005	48	M48091	R03260
R0005	49	M46906	R03070
R0005	50	M48882	R03262

		R0006	

R0006	1	M30503	R03261
R0006	2	M52686	R03413
R0006	3	M48980	R03392
R0006	4	M48423	R03391
R0006	5	M48801	R03390
R0006	6	M48569	R03386
R0006	7	M51461	R03384
R0006	8	M30857	R03388
R0006	9	M48845	R03385
R0006	10	M30196	R03389
R0006	11	M31173	R03387
R0006	12	M48426	R03352
R0006	13	M32056	R03353
R0006	14	M48057	R03071
R0006	15	M48375	R03072
R0006	16	M48753	R03354
R0006	17	M31311	R03455
R0006	18	M47632	R03454
R0006	19	M31445	R03453
R0006	20	M31150	R03350
R0006	21	M31994	R03344
R0006	22	M47963	R03349
R0006	23	M52110	R03348
R0006	24	M30856	R03347
R0006	25	M31869	R03351
R0006	26	M31568	R03345
R0006	27	M47987	R03346
R0006	28	M32024	R03263
R0006	29	M48820	R03264
R0006	30	M30838	R00985
R0006	31	M48825	R03395
R0006	32	M48481	R03393
R0006	33	M31986	R03394
R0006	34	M52069	R03396
R0006	35	M52108	R03463
R0006	36	M48449	R03461
R0006	37	M31635	R03460
R0006	38	M48510	R03459
R0006	39	M48444	R03458
R0006	40	M47686	R03457
R0006	41	M32666	R04064
R0006	42	M30835	R03416
R0006	43	M31951	R03415
R0006	44	M48126	R03414
R0006	45	M31412	R03398
R0006	46	M32467	R03403
R0006	47	M47677	R03397
R0006	48	M48490	R03399
R0006	49	M48280	R03404
R0006	50	M31118	R03402

		R0007	

R0007	1	M29961	R03419
R0007	2	M31062	R03418
R0007	3	M29270	R03417
R0007	4	M48469	R03470
R0007	5	M31002	R03245
R0007	6	M27652	R03465
R0007	7	M30502	R03265
R0007	8	M32026	R03266
R0007	9	M48440	R03246
R0007	10	M48381	R03469
R0007	11	M48551	R03467
R0007	12	M48552	R03468
R0007	13	M48353	R03466
R0007	14	M48419	R03464
R0007	15	M48758	R03406
R0007	16	M52451	R03405
R0007	17	M48579	R03407
R0007	18	M31900	R03654
R0007	19	M31523	R03471
R0007	20	M48491	R03657
R0007	21	M48348	R03655
R0007	22	M48404	R03653
R0007	23	M48482	R03472
R0007	24	M48191	R03656
R0007	25	M48751	R03423
R0007	26	M48638	R03421
R0007	27	M30471	R03422
R0007	28	M48518	R03420
R0007	29	M48822	R03267
R0007	30	M48525	R03248
R0007	31	M48241	R03247
R0007	32	M48661	R00986
R0007	33	M52558	R03411
R0007	34	M48123	R03409
R0007	35	M47027	R03410
R0007	36	M29451	R03357
R0007	37	M48572	R03408
R0007	38	M30922	R03356
R0007	39	M53182	R03660
R0007	40	M32060	R03249
R0007	41	M31871	R03661
R0007	42	M32005	R03659
R0007	43	M48535	R03662
R0007	44	M48397	R03665
R0007	45	M48530	R03664
R0007	46	M48400	R03658
R0007	47	M48562	R03663
R0007	48	M48567	R03250
R0007	49	M48461	R03666
R0007	50	M31467	R00987

		R0008	

R0008	1	M29847	R03273
R0008	2	M30130	R03361
R0008	3	M51954	R03672
R0008	4	M48201	R03360
R0008	5	M48884	R03359
R0008	6	M47893	R03269
R0008	7	M48136	R03251
R0008	8	M48153	R03553
R0008	9	M48533	R03434
R0008	10	M44802	R03556
R0008	11	M32365	R03555
R0008	12	M48631	R03268
R0008	13	M48464	R03425
R0008	14	M48394	R03554
R0008	15	M48432	R03424
R0008	16	M48327	R03426
R0008	17	M48152	R03670
R0008	18	M48352	R03667
R0008	19	M48524	R03427
R0008	20	M52941	R03274
R0008	21	M31639	R03671
R0008	22	M48761	R03428
R0008	23	M48408	R03669
R0008	24	M48421	R03271
R0008	25	M28082	R03429
R0008	26	M48405	R03270
R0008	27	M48169	R03358
R0008	28	M48486	R03430
R0008	29	M48324	R03272
R0008	30	M48300	R03673
R0008	31	M48808	R03674
R0008	32	M48504	R03435
R0008	33	M29319	R03432
R0008	34	M48220	R03681
R0008	35	M48773	R03438
R0008	36	M48379	R03680
R0008	37	M48767	R03277
R0008	38	M51446	R03678
R0008	39	M48132	R03557
R0008	40	M48144	R03675
R0008	41	M48478	R03278
R0008	42	M31913	R03679
R0008	43	M48798	R03276
R0008	44	M48208	R03436
R0008	45	M28812	R03362
R0008	46	M47665	R03559
R0008	47	M48294	R03558
R0008	48	M46798	R03275
R0008	49	M48749	R03431
R0008	50	M48129	R03363

		R0009	

R0009	1	M48599	R03437
R0009	2	M30825	R03677
R0009	3	M48162	R03280
R0009	4	M48486	R03279
R0009	5	M48827	R03440
R0009	6	M48154	R03561
R0009	7	M31352	R03560
R0009	8	M48161	R03686
R0009	9	M29850	R03685
R0009	10	M48243	R03682
R0009	11	M48122	R03687
R0009	12	M32156	R03689
R0009	13	M48265	R03688
R0009	14	M31978	R03439
R0009	15	M48488	R03684
R0009	16	M52327	R03564
R0009	17	M48800	R03562
R0009	18	M38052	R03364
R0009	19	M48771	R03441
R0009	20	M48198	R03442
R0009	21	M48187	R03563
R0009	22	M32264	R03281
R0009	23	M38018	R03282
R0009	24	M48160	R03565
R0009	25	M29649	R03474
R0009	26	M31432	R03473
R0009	27	M31112	R03695
R0009	28	M48429	R03694
R0009	29	M32428	R03443
R0009	30	M32439	R03693
R0009	31	M29326	R03692
R0009	32	M48121	R03696
R0009	33	M48563	R03476
R0009	34	M48815	R03690
R0009	35	M48231	R03475
R0009	36	M32479	R03691
R0009	37	M31719	R03700
R0009	38	M48546	R03699
R0009	39	M44447	R03698
R0009	40	M48853	R03697
R0009	41	M48229	R03284
R0009	42	M48017	R03286
R0009	43	M38082	R03285
R0009	44	M48803	R03444
R0009	45	M48259	R03566
R0009	46	M48760	R03477
R0009	47	M48471	R03294
R0009	48	M48741	R03478
R0009	49	M48098	R03702
R0009	50	M32129	R03701

		R0010	

R0010	1	M48076	R03479
R0010	2	M31501	R03292
R0010	3	M48249	R03705
R0010	4	M52216	R03706
R0010	5	M28307	R03287
R0010	6	M48791	R03293
R0010	7	M48774	R03703
R0010	8	M48878	R03704
R0010	9	M47986	R03290
R0010	10	M48272	R03707
R0010	11	M48410	R03365
R0010	12	M48117	R03311
R0010	13	M48833	R03573
R0010	14	M48258	R03571
R0010	15	M38054	R03289
R0010	16	M52812	R03710
R0010	17	M48101	R03711
R0010	18	M48301	R03567
R0010	19	M31014	R03570
R0010	20	M48247	R03288
R0010	21	M30485	R03296
R0010	22	M48059	R03297
R0010	23	M34883	R03291
R0010	24	M52657	R03568
R0010	25	M46713	R03482
R0010	26	M48067	R03446
R0010	27	M31354	R03445
R0010	28	M48006	R03713
R0010	29	M48029	R03483
R0010	30	M31634	R03712
R0010	31	M58824	R03298
R0010	32	M48492	R03448
R0010	33	M48413	R03450
R0010	34	M48847	R03449
R0010	35	M48367	R03574
R0010	36	M32341	R03576
R0010	37	M31050	R03575
R0010	38	M48409	R03577
R0010	39	M48548	R03484
R0010	40	M48683	R03451
R0010	41	M48111	R03369
R0010	42	M38271	R03486
R0010	43	M32139	R03485
R0010	44	M38160	R03487
R0010	45	M32452	R03368
R0010	46	M51376	R03722
R0010	47	M38260	R03721
R0010	48	M48079	R03720
R0010	49	M48830	R03716
R0010	50	M48073	R03715

		R0011	

R0011	1	M32025	R03719
R0011	2	M47957	R03718
R0011	3	M47900	R03299
R0011	4	M46692	R03717
R0011	5	M48494	R03488
R0011	6	M48270	R03300
R0011	7	M48120	R03302
R0011	8	M47935	R03579
R0011	9	M48023	R03301
R0011	10	M47972	R03753
R0011	11	M47895	R03452
R0011	12	M48070	R03723
R0011	13	M47998	R03583
R0011	14	M51375	R03726
R0011	15	M47985	R03725
R0011	16	M48819	R03582
R0011	17	M47910	R03581
R0011	18	M48377	R03580
R0011	19	M47886	R03724
R0011	20	M38459	R03490
R0011	21	M47930	R03514
R0011	22	M48188	R03306
R0011	23	M48050	R03513
R0011	24	M47920	R03492
R0011	25	M47970	R03307
R0011	26	M47512	R03493
R0011	27	M34162	R03310
R0011	28	M48260	R03494
R0011	29	M38239	R03309
R0011	30	M48435	R03585
R0011	31	M31571	R03586
R0011	32	M38400	R03754
R0011	33	M47861	R03371
R0011	34	M48004	R03372
R0011	35	M48526	R03727
R0011	36	M48516	R03731
R0011	37	M38226	R03729
R0011	38	M47978	R03730
R0011	39	M31203	R03733
R0011	40	M47958	R03491
R0011	41	M38332	R03304
R0011	42	M48112	R03305
R0011	43	M48022	R03590
R0011	44	M47966	R00988
R0011	45	M48829	R03588
R0011	46	M32127	R03589
R0011	47	M47967	R03587
R0011	48	M47949	R03742
R0011	49	M38275	R03743
R0011	50	M47955	R03744

		R0012	

R0012	1	M47909	R03308
R0012	2	M52598	R03736
R0012	3	M47947	R03738
R0012	4	M47546	R03741
R0012	5	M47876	R03740
R0012	6	M47524	R03739
R0012	7	M48734	R03755
R0012	8	M47830	R03515
R0012	9	M36960	R04853
R0012	10	M47933	R03591
R0012	11	M47841	R03517
R0012	12	M47971	R03516
R0012	13	M38510	R03745
R0012	14	M47953	R03746
R0012	15	M38228	R03593
R0012	16	M48763	R03518
R0012	17	M38541	R03954
R0012	18	M47799	R03953
R0012	19	M47948	R03519
R0012	20	M47849	R03496
R0012	21	M47820	R03956
R0012	22	M51559	R03955
R0012	23	M39102	R04020
R0012	24	M47850	R03595
R0012	25	M38528	R03597
R0012	26	M47880	R03598
R0012	27	M47974	R03756
R0012	28	M47128	R03594
R0012	29	M53346	R03520
R0012	30	M38446	R03497
R0012	31	M48081	R03749
R0012	32	M47868	R03748
R0012	33	M47671	R03856
R0012	34	M38468	R03752
R0012	35	M38575	R03751
R0012	36	M47793	R03750
R0012	37	M38218	R03854
R0012	38	M48303	R03855
R0012	39	M48011	R03853
R0012	40	M47692	R03858
R0012	41	M48446	R03499
R0012	42	M47706	R03859
R0012	43	M47874	R03500
R0012	44	M38815	R03860
R0012	45	M38688	R03600
R0012	46	M47806	R03957
R0012	47	M32049	R03861
R0012	48	M47687	R03857
R0012	49	M38720	R03498
R0012	50	M47221	R03602

		R0013	

R0013	1	M28484	R03603
R0013	2	M51194	R03872
R0013	3	M38526	R03503
R0013	4	M32527	R03960
R0013	5	M38709	R03869
R0013	6	M38830	R03961
R0013	7	M47553	R03959
R0013	8	M47984	R03504
R0013	9	M47777	R03958
R0013	10	M38813	R03868
R0013	11	M48217	R03870
R0013	12	M47878	R03864
R0013	13	M27341	R03871
R0013	14	M38661	R03862
R0013	15	M38430	R03502
R0013	16	M47890	R03867
R0013	17	M47685	R03866
R0013	18	M47944	R03599
R0013	19	M47757	R03601
R0013	20	M47786	R03501
R0013	21	M47526	R03865
R0013	22	M47562	R03879
R0013	23	M47596	R03758
R0013	24	M38113	R03877
R0013	25	M47760	R03881
R0013	26	M47681	R03874
R0013	27	M47750	R03873
R0013	28	M47772	R03882
R0013	29	M31536	R03878
R0013	30	M47792	R03606
R0013	31	M48797	R03757
R0013	32	M47715	R03876
R0013	33	M47999	R03963
R0013	34	M48399	R03962
R0013	35	M47543	R03605
R0013	36	M38844	R03505
R0013	37	M38761	R03522
R0013	38	M47743	R03524
R0013	39	M47863	R03523
R0013	40	M47593	R03604
R0013	41	M47617	R03609
R0013	42	M47656	R03607
R0013	43	M47678	R03608
R0013	44	M38538	R03880
R0013	45	M47710	R03885
R0013	46	M48114	R03884
R0013	47	M47607	R03883
R0013	48	M47590	R03967
R0013	49	M48032	R03965
R0013	50	M48051	R03760

		R0014	

R0014	1	M47754	R03507
R0014	2	M47724	R03759
R0014	3	M38557	R03966
R0014	4	M47614	R03964
R0014	5	M47962	R03506
R0014	6	M47637	R03525
R0014	7	M53093	R03611
R0014	8	M38788	R03610
R0014	9	M47690	R03613
R0014	10	M47664	R03614
R0014	11	M48783	R03888
R0014	12	M48586	R03511
R0014	13	M31588	R03526
R0014	14	M47641	R03889
R0014	15	M47638	R03512
R0014	16	M47537	R03615
R0014	17	M48145	R03616
R0014	18	M48793	R03509
R0014	19	M47156	R03886
R0014	20	M31493	R03508
R0014	21	M38810	R03510
R0014	22	M38576	R03528
R0014	23	M47583	R03890
R0014	24	M38799	R03891
R0014	25	M38596	R03761
R0014	26	M47552	R03892
R0014	27	M47731	R03529
R0014	28	M47779	R03894
R0014	29	M38929	R03893
R0014	30	M38880	R03968
R0014	31	M47521	R03617
R0014	32	M47547	R03618
R0014	33	M38981	R03794
R0014	34	M47525	R03795
R0014	35	M38898	R03619
R0014	36	M38631	R03531
R0014	37	M48322	R03762
R0014	38	M52588	R03763
R0014	39	M47823	R00989
R0014	40	M38983	R03530
R0014	41	M47504	R03532
R0014	42	M38624	R03533
R0014	43	M38976	R03896
R0014	44	M47797	R03895
R0014	45	M38587	R03972
R0014	46	M47502	R03897
R0014	47	M38993	R03969
R0014	48	M38841	R03971
R0014	49	M47646	R03973
R0014	50	M48782	R03796

		R0015	

R0015	1	M38433	R03620
R0015	2	M48900	R03621
R0015	3	M47938	R03764
R0015	4	M38958	R03797
R0015	5	M53060	R03898
R0015	6	M47531	R03899
R0015	7	M32504	R03900
R0015	8	M47693	R03974
R0015	9	M47950	R03622
R0015	10	M38944	R03534
R0015	11	M48804	R03535
R0015	12	M38960	R03799
R0015	13	M38853	R03901
R0015	14	M47493	R03903
R0015	15	M47654	R03536
R0015	16	M47660	R03537
R0015	17	M47720	R03538
R0015	18	M31998	R03902
R0015	19	M31457	R03625
R0015	20	M47519	R03623
R0015	21	M47672	R03766
R0015	22	M47536	R03624
R0015	23	M47508	R03765
R0015	24	M48501	R03770
R0015	25	M47515	R03769
R0015	26	M46794	R03768
R0015	27	M47561	R03767
R0015	28	M38975	R03975
R0015	29	M48203	R03976
R0015	30	M47541	R03904
R0015	31	M31769	R03906
R0015	32	M47480	R03905
R0015	33	M47474	R03801
R0015	34	M47477	R03802
R0015	35	M38835	R03800
R0015	36	M47367	R03628
R0015	37	M47376	R03626
R0015	38	M47630	R03629
R0015	39	M38680	R03803
R0015	40	M48401	R03805
R0015	41	M52997	R03627
R0015	42	M47611	R03977
R0015	43	M51037	R03804
R0015	44	M47453	R03908
R0015	45	M47588	R03909
R0015	46	M47416	R03539
R0015	47	M47467	R03771
R0015	48	M38137	R03541
R0015	49	M47435	R03633
R0015	50	M47589	R03631

		R0016	

R0016	1	M47469	R03979
R0016	2	M47426	R03630
R0016	3	M47360	R03632
R0016	4	M47436	R03978
R0016	5	M47393	R03808
R0016	6	M39021	R03807
R0016	7	M47463	R03910
R0016	8	M52700	R03982
R0016	9	M47653	R03544
R0016	10	M48094	R03913
R0016	11	M47411	R03540
R0016	12	M47673	R03911
R0016	13	M38827	R03983
R0016	14	M38643	R03542
R0016	15	M47675	R03912
R0016	16	M47363	R03914
R0016	17	M47395	R03980
R0016	18	M38135	R04855
